resourceProvider,resourceType,resourceGroup,subscription,regionMove
microsoft.containerregistry,registries/buildtasks,Yes,Yes,No
microsoft.containerregistry,registries/replications,Yes,Yes,No
microsoft.containerregistry,registries/tasks,Yes,Yes,No
microsoft.containerregistry,registries/webhooks,Yes,Yes,No
microsoft.containerservice,containerservices,No,No,No
microsoft.containerservice,managedclusters,No,No,No
microsoft.containerservice,openshiftmanagedclusters,No,No,No
microsoft.contentmoderator,applications,No,No,No
microsoft.cortanaanalytics,accounts,No,No,No
microsoft.costmanagement,alerts,No,No,No
microsoft.costmanagement,billingaccounts,No,No,No
microsoft.costmanagement,budgets,No,No,No
microsoft.costmanagement,cloudconnectors,No,No,No
microsoft.costmanagement,connectors,Yes,Yes,No
microsoft.costmanagement,departments,No,No,No
microsoft.costmanagement,dimensions,No,No,No
microsoft.costmanagement,enrollmentaccounts,No,No,No
microsoft.costmanagement,exports,No,No,No
microsoft.costmanagement,externalbillingaccounts,No,No,No
microsoft.costmanagement,forecast,No,No,No
microsoft.costmanagement,query,No,No,No
microsoft.costmanagement,register,No,No,No
microsoft.costmanagement,reportconfigs,No,No,No
microsoft.costmanagement,reports,No,No,No
microsoft.costmanagement,settings,No,No,No
microsoft.costmanagement,showbackrules,No,No,No
microsoft.costmanagement,views,No,No,No
microsoft.customerinsights,hubs,No,No,No
microsoft.customerlockbox,requests,No,No,No
microsoft.customproviders,associations,No,No,No
microsoft.customproviders,resourceproviders,Yes,Yes,No
microsoft.databox,jobs,No,No,No
microsoft.databoxedge,availableskus,No,No,No
microsoft.databoxedge,databoxedgedevices,No,No,No
microsoft.databricks,workspaces,No,No,No
microsoft.databricks,accessconnectors,No,No,No
microsoft.datacatalog,catalogs,Yes,Yes,No
microsoft.datacatalog,datacatalogs,No,No,No
microsoft.dataconnect,connectionmanagers,No,No,No
microsoft.datadog,monitors,No,No,No
microsoft.dataexchange,packages,No,No,No
microsoft.dataexchange,plans,No,No,No
microsoft.datafactory,datafactories,Yes,Yes,No
microsoft.datafactory,factories,Yes,Yes,No
microsoft.datalake,datalakeaccounts,No,No,No
microsoft.datalakeanalytics,accounts,Yes,Yes,No
microsoft.datalakestore,accounts,Yes,Yes,No
microsoft.datamigration,services,No,No,No
microsoft.datamigration,services/projects,No,No,No
microsoft.datamigration,slots,No,No,No
microsoft.datamigration,sqlmigrationservices,No,No,No
microsoft.dataprotection,backupvaults,Yes,Yes,No
microsoft.datashare,accounts,Yes,Yes,No
microsoft.dbformariadb,servers,Yes,Yes,
microsoft.dbformysql,flexibleservers,Yes,Yes,No
microsoft.dbformysql,servers,Yes,Yes,
microsoft.dbforpostgresql,flexibleservers,Yes,Yes,No
microsoft.dbforpostgresql,servergroups,No,No,No
microsoft.dbforpostgresql,servers,Yes,Yes,
microsoft.dbforpostgresql,serversv2,Yes,Yes,No
microsoft.deploymentmanager,artifactsources,Yes,Yes,No
microsoft.deploymentmanager,rollouts,Yes,Yes,No
microsoft.deploymentmanager,servicetopologies,Yes,Yes,No
microsoft.deploymentmanager,servicetopologies/services,Yes,Yes,No
microsoft.deploymentmanager,servicetopologies/services/serviceunits,Yes,Yes,No
microsoft.deploymentmanager,steps,Yes,Yes,No
microsoft.desktopvirtualization,applicationgroups,Yes,Yes,No
microsoft.desktopvirtualization,hostpools,Yes,Yes,No
microsoft.desktopvirtualization,scalingplans,Yes,Yes,No
microsoft.desktopvirtualization,workspaces,Yes,Yes,No
microsoft.desktopvirtualization,appattachpackages,Yes,Yes,No
microsoft.devices,elasticpools,No,No,No
microsoft.devices,elasticpools/iothubtenants,No,No,No
microsoft.devices,iothubs,Yes,Yes,Yes
microsoft.devices,provisioningservices,Yes,Yes,No
microsoft.devops,pipelines,Yes,Yes,No
microsoft.devops,controllers,,,No
microsoft.devspaces,controllers,Yes,Yes,No
microsoft.devspaces,aks cluster,,,No
microsoft.devtestlab,labcenters,No,No,No
microsoft.devtestlab,labs,Yes,No,No
microsoft.devtestlab,labs/environments,Yes,No,No
microsoft.devtestlab,labs/servicerunners,Yes,No,No
microsoft.devtestlab,labs/virtualmachines,Yes,No,No
microsoft.devtestlab,schedules,Yes,Yes,No
microsoft.digitaltwins,digitaltwinsinstances,No,No,Yes
microsoft.documentdb,databaseaccounts,Yes,Yes,No
microsoft.documentdb,mongoclusters,No,No,No
microsoft.documentdb,cassandraclusters,No,No,No
microsoft.domainregistration,domains,Yes,Yes,No
microsoft.domainregistration,generatessorequest,No,No,No
microsoft.domainregistration,topleveldomains,No,No,No
microsoft.domainregistration,validatedomainregistrationinformation,No,No,No
microsoft.elastic,monitors,No,No,No
microsoft.enterpriseknowledgegraph,services,Yes,Yes,No
microsoft.eventgrid,domains,Yes,Yes,No
microsoft.eventgrid,eventsubscriptions,No,No,No
microsoft.eventgrid,extensiontopics,No,No,No
microsoft.eventgrid,partnernamespaces,Yes,Yes,No
microsoft.eventgrid,partnerregistrations,No,No,No
microsoft.eventgrid,partnertopics,Yes,Yes,No
microsoft.eventgrid,systemtopics,Yes,Yes,No
microsoft.eventgrid,topics,Yes,Yes,No
microsoft.eventgrid,topictypes,No,No,No
microsoft.eventhub,clusters,Yes,Yes,No
microsoft.eventhub,namespaces,Yes,Yes,Yes
microsoft.eventhub,sku,No,No,No
microsoft.experimentation,experimentworkspaces,No,No,No
microsoft.extendedlocation,customlocations,No,No,No
microsoft.falcon,namespaces,Yes,Yes,No
microsoft.features,featureproviders,No,No,No
microsoft.features,features,No,No,No
microsoft.features,providers,No,No,No
microsoft.features,subscriptionfeatureregistrations,No,No,No
microsoft.genomics,accounts,No,No,No
microsoft.guestconfiguration,automanagedaccounts,No,No,No
microsoft.guestconfiguration,automanagedvmconfigurationprofiles,No,No,No
microsoft.guestconfiguration,guestconfigurationassignments,No,No,No
microsoft.guestconfiguration,software,No,No,No
microsoft.guestconfiguration,softwareupdateprofile,No,No,No
microsoft.guestconfiguration,softwareupdates,No,No,No
microsoft.hanaonazure,hanainstances,No,No,No
microsoft.hanaonazure,sapmonitors,No,No,No
microsoft.hardwaresecuritymodules,dedicatedhsms,No,No,No
microsoft.hdinsight,clusters,Yes,Yes,No
microsoft.healthcareapis,services,Yes,Yes,No
microsoft.hybridcompute,licenses,Yes,Yes,No
microsoft.hybridcompute,machines,Yes,Yes,No
microsoft.hybridcompute,machines/extensions,Yes,Yes,No
microsoft.hybridcompute,privatelinkscopes,Yes,Yes,No
microsoft.hybriddata,datamanagers,Yes,Yes,No
microsoft.hybridnetwork,devices,No,No,No
microsoft.hybridnetwork,vnfs,No,No,No
microsoft.hydra,components,No,No,No
microsoft.hydra,networkscopes,No,No,No
microsoft.importexport,jobs,Yes,Yes,No
microsoft.insights,accounts,Yes,Yes,No
microsoft.insights,actiongroups,Yes,Yes,No
microsoft.insights,activitylogalerts,No,No,No
microsoft.insights,alertrules,Yes,Yes,No
microsoft.insights,autoscalesettings,Yes,Yes,No
microsoft.insights,baseline,No,No,No
microsoft.insights,components,Yes,Yes,No
microsoft.insights,datacollectionrules,No,No,No
microsoft.insights,diagnosticsettings,No,No,No
microsoft.insights,diagnosticsettingscategories,No,No,No
microsoft.insights,eventcategories,No,No,No
microsoft.insights,eventtypes,No,No,No
microsoft.insights,extendeddiagnosticsettings,No,No,No
microsoft.insights,guestdiagnosticsettings,No,No,No
microsoft.insights,listmigrationdate,No,No,No
microsoft.insights,logdefinitions,No,No,No
microsoft.insights,logprofiles,No,No,No
microsoft.insights,logs,No,No,No
microsoft.insights,metricalerts,No,No,No
microsoft.insights,metricbaselines,No,No,No
microsoft.insights,metricbatch,No,No,No
microsoft.insights,metricdefinitions,No,No,No
microsoft.insights,metricnamespaces,No,No,No
microsoft.insights,metrics,No,No,No
microsoft.insights,migratealertrules,No,No,No
microsoft.insights,migratetonewpricingmodel,No,No,No
microsoft.insights,myworkbooks,No,No,No
microsoft.insights,notificationgroups,No,No,No
microsoft.insights,privatelinkscopes,No,No,No
microsoft.insights,rollbacktolegacypricingmodel,No,No,No
microsoft.insights,scheduledqueryrules,Yes,Yes,No
microsoft.insights,topology,No,No,No
microsoft.insights,transactions,No,No,No
microsoft.insights,vminsightsonboardingstatuses,No,No,No
microsoft.insights,webtests,Yes,Yes,No
microsoft.insights,webtests/gettestresultfile,No,No,No
microsoft.insights,workbooks,Yes,Yes,No
microsoft.insights,workbooktemplates,Yes,Yes,No
microsoft.iotcentral,apptemplates,No,No,No
microsoft.iotcentral,iotapps,Yes,Yes,No
microsoft.iothub,iothub,Yes,Yes,Yes
microsoft.iotspaces,graph,Yes,Yes,No
microsoft.keyvault,deletedvaults,No,No,No
microsoft.keyvault,hsmpools,No,No,No
microsoft.keyvault,managedhsms,No,No,No
microsoft.keyvault,vaults,Yes,Yes,No
microsoft.kubernetes,connectedclusters,No,No,No
microsoft.kubernetes,registeredsubscriptions,No,No,No
microsoft.kubernetesconfiguration,sourcecontrolconfigurations,No,No,No
microsoft.kusto,clusters,Yes,Yes,No
microsoft.labservices,labaccounts,No,No,No
microsoft.labservices,users,No,No,No
microsoft.loadtestservice,loadtests,Yes,Yes,No
microsoft.locationbasedservices,accounts,No,No,No
microsoft.locationservices,accounts,No,No,No
microsoft.logic,hostingenvironments,No,No,No
microsoft.logic,integrationaccounts,Yes,Yes,No
microsoft.logic,integrationserviceenvironments,Yes,No,No
microsoft.logic,integrationserviceenvironments/managedapis,Yes,No,No
microsoft.logic,isolatedenvironments,No,No,No
microsoft.logic,workflows,Yes,Yes,No
microsoft.machinelearning,commitmentplans,No,No,No
microsoft.machinelearning,webservices,Yes,No,No
microsoft.machinelearning,workspaces,Yes,Yes,No
microsoft.machinelearningcompute,operationalizationclusters,No,No,No
microsoft.machinelearningexperimentation,accounts,No,No,No
microsoft.machinelearningexperimentation,teamaccounts,No,No,No
microsoft.machinelearningmodelmanagement,accounts,No,No,No
microsoft.machinelearningservices,workspaces,No,No,No
microsoft.maintenance,configurationassignments,No,No,Yes
microsoft.maintenance,maintenanceconfigurations,Yes,Yes,Yes
microsoft.maintenance,updates,No,No,No
microsoft.maintenance,configurationassignments,No,No,No
microsoft.maintenance,maintenanceconfigurations,No,No,No
microsoft.maintenance,updates,No,No,No
microsoft.managedidentity,identities,No,No,No
microsoft.managedidentity,userassignedidentities,No,No,No
microsoft.managednetwork,managednetworks,No,No,No
microsoft.managednetwork,managednetworks/managednetworkgroups,No,No,No
microsoft.managednetwork,managednetworks/managednetworkpeeringpolicies,No,No,No
microsoft.managednetwork,notification,No,No,No
microsoft.managedservices,marketplaceregistrationdefinitions,No,No,No
microsoft.managedservices,registrationassignments,No,No,No
microsoft.managedservices,registrationdefinitions,No,No,No
microsoft.management,getentities,No,No,No
microsoft.management,managementgroups,No,No,No
microsoft.management,managementgroups/settings,No,No,No
microsoft.management,resources,No,No,No
microsoft.management,starttenantbackfill,No,No,No
microsoft.management,tenantbackfillstatus,No,No,No
microsoft.maps,accounts,Yes,Yes,No
microsoft.maps,accounts/privateatlases,Yes,Yes,No
microsoft.marketplace,offers,No,No,No
microsoft.marketplace,offertypes,No,No,No
microsoft.marketplace,privategalleryitems,No,No,No
microsoft.marketplace,privatestoreclient,No,No,No
microsoft.marketplace,privatestores,No,No,No
microsoft.marketplace,products,No,No,No
microsoft.marketplace,publishers,No,No,No
microsoft.marketplace,register,No,No,No
microsoft.marketplaceapps,classicdevservices,No,No,No
microsoft.marketplaceordering,agreements,No,No,No
microsoft.marketplaceordering,offertypes,No,No,No
microsoft.media,mediaservices,Yes,Yes,No
microsoft.media,mediaservices/liveevents,Yes,Yes,No
microsoft.media,mediaservices/streamingendpoints,Yes,Yes,No
microsoft.microservices4spring,appclusters,No,No,No
microsoft.migrate,assessmentprojects,No,No,No
microsoft.migrate,migrateprojects,No,No,No
microsoft.migrate,movecollections,No,No,No
microsoft.migrate,projects,No,No,No
microsoft.mixedreality,remoterenderingaccounts,Yes,Yes,No
microsoft.mobilenetwork,mobilenetworks,No,No,Yes
microsoft.mobilenetwork,mobilenetworks/datanetworks,No,No,Yes
microsoft.mobilenetwork,mobilenetworks/simpolicies,No,No,Yes
microsoft.mobilenetwork,mobilenetworks/sites,No,No,Yes
microsoft.mobilenetwork,mobilenetworks/slices,No,No,Yes
microsoft.mobilenetwork,packetcorecontrolplanes,No,No,Yes
microsoft.mobilenetwork,packetcorecontrolplanes/packetcoredataplanes,No,No,Yes
microsoft.mobilenetwork,packetcorecontrolplanes/packetcoredataplanes/attacheddatanetworks,No,No,Yes
microsoft.mobilenetwork,sims,No,No,Yes
microsoft.mobilenetwork,simgroups,No,No,Yes
microsoft.mobilenetwork,simgroups/sims,No,No,Yes
microsoft.mobilenetwork,packetcorecontrolplaneversions,No,No,Yes
microsoft.netapp,netappaccounts,No,No,No
microsoft.netapp,netappaccounts/capacitypools,No,No,No
microsoft.netapp,netappaccounts/capacitypools/volumes,No,No,No
microsoft.netapp,netappaccounts/capacitypools/volumes/mounttargets,No,No,No
microsoft.netapp,netappaccounts/capacitypools/volumes/snapshots,No,No,No
microsoft.network,applicationgateways,No,No,No
microsoft.network,applicationgatewaywebapplicationfirewallpolicies,No,No,No
microsoft.network,applicationsecuritygroups,Yes,Yes,No
microsoft.network,azurefirewalls,No,No,No
microsoft.network,bastionhosts,Yes,No,No
microsoft.network,bgpservicecommunities,No,No,No
microsoft.network,connections,Yes,Yes,No
microsoft.network,ddoscustompolicies,Yes,Yes,No
microsoft.network,ddosprotectionplans,No,No,No
microsoft.network,dnszones,Yes,Yes,No
microsoft.network,expressroutecircuits,No,No,No
microsoft.network,expressroutegateways,No,No,No
microsoft.network,expressrouteserviceproviders,No,No,No
microsoft.network,firewallpolicies,No,No,No
microsoft.network,frontdoors,No,No,No
microsoft.network,ipallocations,Yes,Yes,No
microsoft.network,ipgroups,No,No,No
microsoft.network,loadbalancers,Yes,Yes,Yes
microsoft.network,localnetworkgateways,Yes,Yes,No
microsoft.network,natgateways,No,No,No
microsoft.network,networkexperimentprofiles,No,No,No
microsoft.network,networkintentpolicies,Yes,Yes,No
microsoft.network,networkinterfaces,Yes,Yes,Yes
microsoft.network,networkprofiles,No,No,No
microsoft.network,networksecuritygroups,Yes,Yes,Yes
microsoft.network,networkwatchers,Yes,No,No
microsoft.network,networkwatchers/connectionmonitors,Yes,No,No
microsoft.network,networkwatchers/flowlogs,Yes,No,No
microsoft.network,networkwatchers/pingmeshes,Yes,No,No
microsoft.network,p2svpngateways,No,No,No
microsoft.network,privatednszones,Yes,Yes,No
microsoft.network,privatednszones/virtualnetworklinks,Yes,Yes,No
microsoft.network,privatednszonesinternal,No,No,No
microsoft.network,privateendpointredirectmaps,No,No,No
microsoft.network,privateendpoints,Yes,Yes,No
microsoft.network,privatelinkservices,No,No,No
microsoft.network,publicipaddresses,Yes,Yes,No
microsoft.network,publicipprefixes,Yes,Yes,No
microsoft.network,routefilters,No,No,No
microsoft.network,routetables,Yes,Yes,No
microsoft.network,securitypartnerproviders,Yes,Yes,No
microsoft.network,serviceendpointpolicies,Yes,Yes,No
microsoft.network,trafficmanagergeographichierarchies,No,No,No
microsoft.network,trafficmanagerprofiles,Yes,Yes,No
microsoft.network,trafficmanagerprofiles/heatmaps,No,No,No
microsoft.network,trafficmanagerusermetricskeys,No,No,No
microsoft.network,virtualhubs,No,No,No
microsoft.network,virtualnetworkgateways,No,No,No
microsoft.network,virtualnetworks,Yes,Yes,Yes
microsoft.network,virtualnetworktaps,No,No,No
microsoft.network,virtualrouters,Yes,Yes,No
microsoft.network,vpngateways (virtual wan),No,No,No
microsoft.network,vpnserverconfigurations,No,No,No
microsoft.network,vpnsites (virtual wan),No,No,No
microsoft.notificationhubs,namespaces,Yes,Yes,No
microsoft.notificationhubs,namespaces/notificationhubs,Yes,Yes,No
microsoft.objectstore,osnamespaces,Yes,Yes,No
microsoft.offazure,hypervsites,No,No,No
microsoft.offazure,importsites,No,No,No
microsoft.offazure,mastersites,No,No,No
microsoft.offazure,serversites,No,No,No
microsoft.offazure,vmwaresites,No,No,No
microsoft.operationalinsights,clusters,No,No,No
microsoft.operationalinsights,deletedworkspaces,No,No,No
microsoft.operationalinsights,linktargets,No,No,No
microsoft.operationalinsights,storageinsightconfigs,No,No,No
microsoft.operationalinsights,workspaces,Yes,Yes,No
microsoft.operationalinsights,querypacks,No,No,No
microsoft.operationsmanagement,managementassociations,No,No,No
microsoft.operationsmanagement,managementconfigurations,Yes,Yes,No
microsoft.operationsmanagement,solutions,Yes,Yes,No
microsoft.operationsmanagement,views,Yes,Yes,No
microsoft.peering,legacypeerings,No,No,No
microsoft.peering,peerasns,No,No,No
microsoft.peering,peeringlocations,No,No,No
microsoft.peering,peerings,Yes,Yes,No
microsoft.peering,peeringservicecountries,No,No,No
microsoft.peering,peeringservicelocations,No,No,No
microsoft.peering,peeringserviceproviders,No,No,No
microsoft.peering,peeringservices,Yes,Yes,No
microsoft.policyinsights,policyevents,No,No,No
microsoft.policyinsights,policystates,No,No,No
microsoft.policyinsights,policytrackedresources,No,No,No
microsoft.policyinsights,remediations,No,No,No
microsoft.portal,consoles,No,No,No
microsoft.portal,dashboards,Yes,Yes,No
microsoft.portal,usersettings,No,No,No
microsoft.powerbi,workspacecollections,Yes,Yes,No
microsoft.powerbidedicated,capacities,Yes,Yes,No
microsoft.programmableconnectivity,gateways,No,No,No
microsoft.programmableconnectivity,openapigatewayofferings,No,No,No
microsoft.programmableconnectivity,openapigateways,No,No,No
microsoft.programmableconnectivity,operatorapiconnections,No,No,No
microsoft.programmableconnectivity,operatorapiplans,No,No,No
microsoft.programmableconnectivity,operatorconnections,No,No,No
microsoft.programmableconnectivity,operatorofferings,No,No,No
microsoft.projectbabylon,accounts,No,No,No
microsoft.purview,accounts,Yes,Yes,No
microsoft.providerhub,availableaccounts,No,No,No
microsoft.providerhub,providerregistrations,No,No,No
microsoft.providerhub,rollouts,No,No,No
microsoft.quantum,workspaces,No,No,No
microsoft.recoveryservices,replicationeligibilityresults,No,No,No
microsoft.recoveryservices,vaults,Yes,Yes,No
microsoft.redhatopenshift,openshiftclusters,No,No,No
microsoft.relay,namespaces,Yes,Yes,No
microsoft.resourcegraph,queries,Yes,Yes,No
microsoft.resourcegraph,resourcechangedetails,No,No,No
microsoft.resourcegraph,resourcechanges,No,No,No
microsoft.resourcegraph,resources,No,No,No
microsoft.resourcegraph,resourceshistory,No,No,No
microsoft.resourcegraph,subscriptionsstatus,No,No,No
microsoft.resourcehealth,childresources,No,No,No
microsoft.resourcehealth,emergingissues,No,No,No
microsoft.resourcehealth,events,No,No,No
